Azoff eloff Tant
0.00   0.00 888.290
0.00   0.00 889.619
0.00   0.00 889.493
0.00   0.00 891.418
1.00   0.00 862.004
2.00   0.00 785.920
3.00   0.00 693.803
4.00   0.00 586.939
5.00   0.00 480.673
6.00   0.00 402.007
7.00   0.00 337.953
8.00   0.00 296.194
9.00   0.00 277.423
10.00  0.00 267.792
11.00  0.00 265.106
12.00  0.00 261.836
13.00  0.00 278.646
14.00  0.00 245.495
15.00  0.00 237.060
16.00  0.00 226.419
17.00  0.00 219.930
18.00  0.00 253.446
19.00  0.00 218.309
20.00  0.00 232.453
-1.00  0.00 232.453
-1.00  0.00 870.781
-2.00  0.00 811.485
-3.00  0.00 696.822
-4.00  0.00 592.736
-5.00  0.00 508.043
-6.00  0.00 431.746
-7.00  0.00 375.575
-8.00  0.00 360.154
-9.00  0.00 323.215
-10.00 0.00 307.906
-11.00 0.00 294.570
-12.00 0.00 266.099
-13.00 0.00 240.097
-14.00 0.00 239.976
-14.00 0.00 239.694
-15.00 0.00 226.325
-16.00 0.00 218.924
-17.00 0.00 212.113
-18.00 0.00 208.402
-19.00 0.00 206.018
-20.00 0.00 203.645
0.00   1.00 203.645
0.00   1.00 879.055
0.00   2.00 705.547
0.00   3.00 469.763
0.00   4.00 310.951
0.00   5.00 252.908
0.00   6.00 241.556
0.00   7.00 235.451
0.00   8.00 219.415
0.00   9.00 208.618
0.00   10.00 205.498
0.00   11.00 207.284
0.00   12.00 211.977
0.00   13.00 205.490
0.00   14.00 207.432
0.00   15.00 213.737
0.00   16.00 208.372
0.00   17.00 210.152
0.00   18.00 211.068
0.00   19.00 214.050
0.00   20.00 214.185
0.00   -1.00 214.185
0.00   -1.00 823.990
0.00   -2.00 645.201
0.00   -3.00 441.077
0.00   -4.00 303.650
0.00   -5.00 257.076
0.00   -6.00 237.023
0.00   -7.00 230.190
0.00   -8.00 223.696
0.00   -9.00 208.951
0.00   -10.00 206.131
0.00   -11.00 206.184
0.00   -12.00 202.956
0.00   -13.00 202.946
0.00   -14.00 202.973
0.00   -15.00 202.236
0.00   -16.00 205.542
0.00   -17.00 202.170
0.00   -18.00 201.312
0.00   -19.00 202.366
0.00   -20.00 201.085
