#DATE                  obsn   az      el     freq_MHz      Tsys        Tant        vlsr     glat        glon        azoff      eloff      source  Fstart       fstop        spacing      bw        fbw       nfreq   nsam        npoint  integ  sigma     bsw   
 2017:096:20:00:03     0      221     55     1420.4000     171.000     888.290     4.65     -56.017     128.296     0.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     2      1.195     0     
 2017:096:20:00:04     1      221     55     1420.4000     171.000     889.619     4.65     -56.017     128.296     0.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     3      0.976     0     
 2017:096:20:00:05     2      221     55     1420.4000     171.000     889.493     4.65     -56.017     128.296     0.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     4      0.845     0     
 2017:096:20:00:06     3      221     55     1420.4000     171.000     891.418     4.65     -56.017     128.296     0.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     5      0.756     0     
 2017:096:20:00:16     4      222     55     1420.4000     171.000     862.004     4.65     -56.017     128.296     1.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     7      0.690     0     
 2017:096:20:00:25     5      223     55     1420.4000     171.000     785.920     4.65     -56.017     128.297     2.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     8      0.639     0     
 2017:096:20:00:35     6      224     55     1420.4000     171.000     693.803     4.65     -56.017     128.297     3.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     9      0.597     0     
 2017:096:20:00:44     7      225     55     1420.4000     171.000     586.939     4.65     -56.017     128.297     4.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     10     0.563     0     
 2017:096:20:00:53     8      226     55     1420.4000     171.000     480.673     4.65     -56.017     128.297     5.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     11     0.534     0     
 2017:096:20:01:03     9      227     55     1420.4000     171.000     402.007     4.65     -56.017     128.297     6.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     12     0.510     0     
 2017:096:20:01:12     10     228     55     1420.4000     171.000     337.953     4.65     -56.017     128.297     7.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     13     0.488     0     
 2017:096:20:01:21     11     229     55     1420.4000     171.000     296.194     4.65     -56.017     128.298     8.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     14     0.469     0     
 2017:096:20:01:31     12     230     55     1420.4000     171.000     277.423     4.65     -56.017     128.298     9.00       0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     15     0.452     0     
 2017:096:20:01:40     13     231     55     1420.4000     171.000     267.792     4.65     -56.017     128.298     10.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     16     0.436     0     
 2017:096:20:01:49     14     232     55     1420.4000     171.000     265.106     4.65     -56.017     128.298     11.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     17     0.422     0     
 2017:096:20:01:59     15     233     55     1420.4000     171.000     261.836     4.65     -56.017     128.298     12.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     19     0.410     0     
 2017:096:20:02:08     16     234     55     1420.4000     171.000     278.646     4.65     -56.017     128.298     13.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     20     0.398     0     
 2017:096:20:02:18     17     235     55     1420.4000     171.000     245.495     4.65     -56.017     128.299     14.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     21     0.388     0     
 2017:096:20:02:27     18     236     55     1420.4000     171.000     237.060     4.65     -56.017     128.299     15.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     22     0.378     0     
 2017:096:20:02:36     19     237     55     1420.4000     171.000     226.419     4.65     -56.017     128.299     16.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     23     0.369     0     
 2017:096:20:02:46     20     238     55     1420.4000     171.000     219.930     4.65     -56.016     128.299     17.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     24     0.360     0     
 2017:096:20:02:55     21     240     55     1420.4000     171.000     253.446     4.65     -56.016     128.299     18.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     25     0.352     0     
 2017:096:20:03:04     22     241     55     1420.4000     171.000     218.309     4.65     -56.016     128.300     19.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     26     0.345     0     
 2017:096:20:03:14     23     242     55     1420.4000     171.000     232.453     4.65     -56.016     128.300     20.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     27     0.338     0     
 2017:096:20:03:35     24     221     55     1420.4000     171.000     232.453     4.65     -56.016     128.300     -1.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     28     0.331     0     
 2017:096:20:03:36     25     221     55     1420.4000     171.000     870.781     4.65     -56.016     128.300     -1.00      0.00       Sun     1419.397     1421.403     0.009375     2.400     2.000     256     5242880     214     29     0.325     0     
